id,solved,match_type,referenced,rationale
fb_0000,False,none,,Tài liệu TÀI không mô tả việc trả về HTML thay vì slide hay việc treo lệnh sau đó — đây là lỗi runtime.
fb_0001,False,none,,Tài liệu TÀI không nói gì về số slide tối thiểu khi tạo presentation.
fb_0002,False,none,,"Không gen ra slide sau khi input file là lỗi vận hành, tài liệu không đề cập."
fb_0003,False,none,,"Đề xuất khai tử agent là góp ý sản phẩm, tài liệu không có nội dung tương ứng."
fb_0004,False,none,,Các trang tài liệu được phép tra cho agent tai không mô tả chỉ báo hết credit/token.
fb_0005,False,none,,"Không trả lời nội dung nào là lỗi runtime, tài liệu không mô tả."
fb_0006,False,none,,"Không phản hồi là lỗi runtime, tài liệu không mô tả."
fb_0008,False,limitation,"Upon page refresh, the progress information or translated file is no longer visible in the user interface","Tài liệu ghi rõ sau khi refresh trang thì tiến trình và file dịch không còn hiển thị, và không có tính năng lịch sử."
fb_0009,False,none,,"Nội dung quá chung chung (chỉ ghi 'lỗi'), tài liệu không có mục nào tương ứng."
fb_0010,False,none,,"Báo lỗi không dùng được một cách chung chung, tài liệu không mô tả."
fb_0011,False,none,,"Báo không sử dụng được, không có mục nào trong tài liệu tương ứng."
fb_0012,False,none,,"Không sử dụng được TÀI Studio là lỗi hệ thống, tài liệu không đề cập."
fb_0013,False,none,,Tài liệu TÀI không hướng dẫn về đánh số thứ tự slide trong file đã xuất.
fb_0014,False,limitation,Layouts depend on bundled templates — no custom animations or complex charts,Tài liệu ghi rõ không hỗ trợ chart phức tạp vì layout phụ thuộc bộ template đóng gói sẵn.
fb_0015,False,none,,"Không phản hồi là lỗi runtime, tài liệu không mô tả."
fb_0016,False,none,,Tài liệu TÀI Studio không mô tả marquee/auto-scroll của mục Trending agents.
fb_0018,False,none,,"Tài liệu chỉ nói upload 'reference files' chung chung, không xác nhận hỗ trợ dữ liệu Excel để tạo format."
fb_0020,False,none,,Tài liệu không nói gì về việc hiển thị tên các agent dạng song ngữ.
fb_0021,False,none,,"Treo ở trạng thái still running là lỗi runtime, tài liệu không mô tả trường hợp này."
fb_0022,False,none,,"Tài liệu chỉ nói panel History hiển thị ảnh gần đây, không nêu cách tìm ảnh cũ hơn cũng không nêu đây là hạn chế."
fb_0023,False,none,,Tài liệu Office 365 và TÀI không quy định ngôn ngữ trả lời phải khớp ngôn ngữ câu hỏi.
fb_0024,False,none,,Góp ý về chất lượng tài liệu hướng dẫn; nội dung bị cắt và tài liệu không có mục nào giải quyết.
fb_0025,False,none,,"Việc lặp vô hạn viết lại trang HTML là lỗi hành vi, tài liệu không mô tả."
fb_0026,False,none,,Tài liệu The Scholar không nói gì về màu sắc của các nút.
fb_0028,False,none,,"Lỗi structured output của LLM là lỗi runtime, tài liệu không mô tả."
fb_0029,True,how_to,The “Ask AI to edit” field allows a short description of the desired changes. This helps guide AI to update the content more accurately.,Tài liệu nêu rõ đã có ô 'Ask AI to edit' để người dùng góp ý chỉnh sửa sau khi có slide draft.
