id,content,agent,orig_category,intent,rationale,source
fb_0018,Tài có thể giúp tạo format dựa trên dư liệu file excel có sẵn đưa vào ko,the-powerpoint-er,idea,request_feature,hỏi xin năng lực tạo format từ file excel,real
fb_0039,"Bổ sung thêm định dạng html và md cho reference , document để đảm bảo trong flow làm việc, internal user có thể tiện lợi move qu…",the-powerpoint-er,idea,request_feature,đề xuất bổ sung định dạng html/md cho reference,real
fb_0044,Nên thêm mục các từ ngữ chuyên ngành hay dịch sai để người dùng tự input trước khi dịch.,the-translator,idea,request_feature,đề xuất thêm mục nhập từ chuyên ngành trước khi dịch,real
fb_0047,Có nút sao chép để sao chép nhanh kết quả Tài trả ra,the-brainstormer,idea,request_feature,xin thêm nút sao chép kết quả,real
fb_0055,Nên có 1 dòng để user mô tả các thông tin cần tóm tắt thay vì để Agent tự lựa chọn thông tin,the-summarizer,idea,request_feature,đề xuất thêm ô để user mô tả thông tin cần tóm tắt,real
fb_0071,Nên thêm ngôn ngữ đầu ra là Tiếng Trung. Thêm Source file là dịch hình ảnh ạ.,the-translator,idea,request_feature,xin thêm ngôn ngữ đầu ra tiếng Trung + dịch hình ảnh,real
fb_0076,"chưa hỗ trợ xuất kết quả ra file excel, như hiện tại mình phải cop ra copilot nhờ xuất excel giúp",the-brainstormer,idea,request_feature,xin tính năng xuất kết quả ra file excel,real
fb_0084,Thêm ảnh tham chiếu (reference) giống Figma Wave được không ạ,the-imaginator,idea,request_feature,xin thêm ảnh tham chiếu kiểu Figma,real
fb_0086,nên bổ sung định dạng audio/ video,the-summarizer,idea,request_feature,đề xuất bổ sung định dạng audio/video,real
fb_0091,"Bổ sung tính năng so sánh, phát hiện điểm khác biệt giữa các văn bản (ví dụ thông tư/văn bản mới cập nhật nội dung gì so với văn bả…",the-summarizer,idea,request_feature,đề xuất tính năng so sánh/phát hiện khác biệt văn bản,real
fb_0093,ở mục slide bên trái tạo thêm nút xóa slide sau khi thấy thừa,the-powerpoint-er,idea,request_feature,xin thêm nút xóa slide,real
fb_0100,Bổ sung tính năng cho download từng trang slide và cho quay trở về version trước của trang slide.,the-powerpoint-er,idea,request_feature,xin tải từng trang slide + quay lại version trước,real
fb_0137,Cho phép thao tác paste ảnh nội dung cần thiết kế slide để thao tác nhanh hơn (giống copilot),the-powerpoint-er,idea,request_feature,xin cho phép paste ảnh để thao tác nhanh,real
fb_0141,"anh/ chị cho thêm tính năng gửi hình ảnh để trao đổi thông tin cho đỡ phải brief lại thông tin bằng các nhập, từ đó rút ngắn thời gian t…",the-brainstormer,idea,request_feature,xin tính năng gửi hình ảnh khi trao đổi,real
fb_0190,"Tài Studio cần bổ sung nơi lưu trữ những sản phẩm Tài Studio đã tạo ra. Ví dụ khi tôi tạo ra các slide xong, xuất xong thì những slide…",tai,idea,request_feature,đề xuất bổ sung nơi lưu trữ sản phẩm đã tạo,real
fb_0046,"Để tạo slide về action plan bao gồm action, timeline & PIC thì làm thế nào? Hiện tôi thực hiện bằng cách copy table action plan và p…",the-powerpoint-er,idea,how_to,hỏi 'làm thế nào' để tạo slide action plan,real
fb_0056,"Team ơi, usage limit của mỗi period dc tính như nào. khi nào được reset. …",tai,other,how_to,"hỏi usage limit tính thế nào, khi nào reset",real
fb_0074,Có add được nhiều file tham khảo không nhỉ?,the-powerpoint-er,idea,how_to,hỏi có add được nhiều file tham khảo không,real
fb_0085,"Em hỏi chút, khi em sử dụng AI này và up chứng từ lên để AI hỗ trợ, có bị tính vi phạm an ninh thông tin không?",the-brainstormer,idea,how_to,hỏi việc upload chứng từ có vi phạm an ninh không,real
