== Eval B1 embedding-matching tren data\golden\feedback_gold.csv (nguong high=0.5 low=0.5)
  accuracy strict 5-nhan (lich su): 83/192 = 43.2%

-- (i) Chat luong phan loai khi model TRA LOI (gold co nhan that, khong abstain): 69/119 = 58.0%
  label            prec  recall     f1  support  predicted
  bug              0.91    0.45   0.60       47         23
  new_feature      0.56    0.63   0.59       38         43
  praise           0.84    0.84   0.84       19         19
  complain         0.24    0.53   0.33       15         34

  confusion 4x4 (hang=gold, cot=pred):
                        bug  new_featu     praise   complain
  bug                    21         14          2         10
  new_feature             0         24          1         13
  praise                  0          0         16          3
  complain                2          5          0          8

  abstention: gold_unclassified=29 | chan dung (caught)=14 | gan nhan nham (false_accept)=15 | bo phieu trang oan (false_abstain)=44
  phan bo 3 vung: ok=134  low_confidence=0  unclassified=58

-- (ii) Coverage–accuracy (abstain khi conf < t; nhan = exemplar gan nhat)
       t  coverage  n_ans  acc_ans  acc_gold_real
    0.30     99.0%    190    49.5%          58.0%
    0.35     96.4%    185    50.3%          58.1%
    0.40     93.2%    179    49.7%          57.8%
    0.45     86.5%    166    50.6%          57.1%
    0.50     69.8%    134    51.5%          58.0%
    0.55     46.9%     90    56.7%          63.7%
    0.60     21.9%     42    69.0%          74.4%
    0.65      8.9%     17    70.6%          70.6%
    0.70      3.1%      6    83.3%          83.3%
    0.75      1.0%      2   100.0%         100.0%

  sai 109 dong theo strict (id | gold -> pred | conf | content):
    fb_0001 | new_feature -> complain | 0.56 | chưa tạo dc 1 slide, mà phải tối thiểu 2 slide
    fb_0002 | bug -> complain | 0.61 | TAI studio ko work, input file nhưng ko gen ra slide
    fb_0003 | new_feature -> unclassified | 0.40 | TL;DR: We should sunset AI Visionary and just replace it wit
    fb_0004 | new_feature -> complain | 0.51 | TL;DR: There must be a clear indicator when a person is out 
    fb_0007 | complain -> bug | 0.51 | Tại sao cứ báo tôi bị hết hạn mức không sử dụng được
    fb_0008 | new_feature -> complain | 0.53 | The translator không có lịch sử ạ :) lúc nãy em chờ nóa dịch
    fb_0012 | bug -> new_feature | 0.51 | tôi đang ko sử dụng được Tài studio…
    fb_0013 | new_feature -> unclassified | 0.50 | sau khi tạo được slide từ TAI, tôi add trang mới vào file sl
    fb_0014 | new_feature -> unclassified | 0.50 | chưa chuyển thể data trong excel thành chart trong ppt được
    fb_0015 | bug -> praise | 0.60 | k phản hồi
    fb_0016 | new_feature -> unclassified | 0.44 | The automatic scrolling/marquee for Trending agents is just 
    fb_0017 | complain -> unclassified | 0.45 | Searching for previous chats is very limited. Is this keywor
    fb_0020 | new_feature -> unclassified | 0.40 | Vui lòng để song ngữ cho tên của các agents không thì người 
    fb_0022 | new_feature -> unclassified | 0.44 | lịch sử lưu ảnh của Tài Thiết kế hơi ít ,muốn tìm lại ảnh cũ
    fb_0023 | bug -> unclassified | 0.46 | Chat MCP O365 bằng ENG nhưng câu trả lời bằng tiếng Việt
    fb_0024 | new_feature -> unclassified | 0.46 | Dear anh chị, owner của agent review lại hướng dẫn sử dụng, 
    fb_0026 | new_feature -> unclassified | 0.45 | Mấy cái nút này mầu xấu quá dùng màu xanh không ổn ?
    fb_0028 | bug -> new_feature | 0.51 | LLM: LLM: structured output failed: No JSON found after all 
    fb_0029 | new_feature -> unclassified | 0.48 | Tự bịa khá nhiều thông tin, cần phải có bước comment sau khi
    fb_0031 | bug -> unclassified | 0.45 | Vẫn còn 1 đoạn nội dung tiếng Việt (không phải từ chuyên môn
    fb_0033 | bug -> unclassified | 0.49 | Tôi yêu cầu đưa ra câu trả lời MOM thì có câu trả lời sau đó
    fb_0034 | bug -> complain | 0.50 | Nhiều đoạn không được dịch
    fb_0036 | bug -> new_feature | 0.60 | translators does not work translates customer complaints, em
