id,solved,match_type,referenced,rationale
fb_0000,False,none,,Doc TAI khong mo ta hanh vi tra ve html roi treo lenh; day la loi khong duoc tai lieu hoa.
fb_0001,False,none,,Tai lieu TAI khong noi gi ve so slide toi thieu.
fb_0002,False,none,,"Loi khong gen duoc slide, khong co muc nao trong doc TAI giai thich."
fb_0003,False,none,,"De xuat khai tu agent la quyet dinh san pham, doc khong de cap."
fb_0004,False,none,,Doc TAI/Office365 khong de cap chi bao het credit.
fb_0005,False,none,,"Khong phan hoi la loi, doc khong de cap."
fb_0006,False,none,,"Khong phan hoi la loi, doc khong de cap."
fb_0008,False,limitation,"Upon page refresh, the progress information or translated file is no longer visible in the user interface","Doc ghi ro sau khi refresh trang thi file dich khong con hien thi, khong co lich su."
fb_0009,False,none,,"Noi dung qua chung chung, doc khong co gi lien quan."
fb_0010,False,none,,"Loi khong dung duoc, doc khong de cap."
fb_0011,False,none,,"Loi khong dung duoc, doc khong de cap."
fb_0012,False,none,,"Loi khong dung duoc TAI Studio, doc khong de cap."
fb_0013,False,none,,Doc TAI khong huong dan ve so thu tu slide khi them trang moi.
fb_0014,False,limitation,Layouts depend on bundled templates — no custom animations or complex charts,Doc ghi ro khong ho tro chart phuc tap nen khong chuyen duoc data excel thanh chart.
fb_0015,False,none,,"Khong phan hoi la loi, doc khong de cap."
fb_0016,False,none,,Doc TAI Studio khong de cap marquee/trending agents.
fb_0018,False,none,,"Doc chi noi upload reference files chung chung, khong xac nhan ho tro excel de tao format."
fb_0020,False,none,,Doc TAI khong noi ve ten agent song ngu.
fb_0021,False,none,,"Treo khong tra loi la loi, doc khong xac nhan by-design."
fb_0022,False,none,,"Doc chi noi History hien anh moi tao gan day, khong co cach tim lai anh cu hon."
fb_0023,False,none,,Doc TAI/Office365 khong quy dinh ngon ngu tra loi theo ngon ngu cau hoi.
fb_0024,False,none,,"Phan hoi ve chat luong tai lieu huong dan, khong phai tinh nang duoc doc giai quyet."
fb_0025,False,none,,Vong lap viet lai html va tieu ton budget khong duoc doc TAI mo ta.
fb_0026,False,none,,Doc The Scholar khong de cap mau sac cac nut giao dien.
fb_0028,False,none,,Loi structured output failed khong duoc doc mo ta.
fb_0029,True,how_to,The “Ask AI to edit” field allows a short description of the desired changes. This helps guide AI to update the content more accurately.,Doc co buoc Ask AI to edit sau khi da len slide draft de dieu chinh AI theo dung huong.
fb_0031,False,none,,"Doan van bi bo sot khong phai thuat ngu chuyen nganh, doc khong giai thich."
