id,agent,label,content,solved,match_type,referenced,rationale
fb_0000,tai,bug,"nhờ Tài tạo slide, nhưng lại chỉ gửi lại html, sau đó các câu lệnh ko nhận nữa",False,none,,Doc TAI khong mo ta hanh vi tra ve html roi treo lenh; day la loi khong duoc tai lieu hoa.
fb_0001,tai,new_feature,"chưa tạo dc 1 slide, mà phải tối thiểu 2 slide",False,none,,Tai lieu TAI khong noi gi ve so slide toi thieu.
fb_0002,tai,bug,"TAI studio ko work, input file nhưng ko gen ra slide",False,none,,"Loi khong gen duoc slide, khong co muc nao trong doc TAI giai thich."
fb_0003,the-ai-visionary,new_feature,TL;DR: We should sunset AI Visionary and just replace it with AI Coach. The knowledge grounding of AI Visionary seems to be very …,False,none,,"De xuat khai tu agent la quyet dinh san pham, doc khong de cap."
fb_0004,tai,new_feature,TL;DR: There must be a clear indicator when a person is out of credits....,True,how_to,"The sidebar shows your token usage (e.g., 3 / 10,000). Tips to save tokens:","GenUI §9 Token Meter: sidebar hiện mức dùng token, 'At 90% usage, the bar turns red with a warning' ⇒ chỉ báo đã có ⇒ True."
fb_0005,tai,bug,K trả lời nội dung nào khi hỏi,False,none,,"Khong phan hoi la loi, doc khong de cap."
fb_0006,tai,bug,Không phản hồi,False,none,,"Khong phan hoi la loi, doc khong de cap."
fb_0008,the-translator,new_feature,The translator không có lịch sử ạ :) lúc nãy em chờ nóa dịch chán chê mòi xong vô tình tab đấy refresh lại thì nóa mất luôn 😳,False,limitation,"Upon page refresh, the progress information or translated file is no longer visible in the user interface","Doc ghi ro sau khi refresh trang thi file dich khong con hien thi, khong co lich su."
fb_0009,tai,bug,lỗi,False,none,,"Noi dung qua chung chung, doc khong co gi lien quan."
fb_0010,tai,bug,lỗi không dùng được,False,none,,"Loi khong dung duoc, doc khong de cap."
fb_0011,tai,bug,tôi không sử dụng được,False,none,,"Loi khong dung duoc, doc khong de cap."
fb_0012,tai,bug,tôi đang ko sử dụng được Tài studio…,False,none,,"Loi khong dung duoc TAI Studio, doc khong de cap."
fb_0013,tai,new_feature,"sau khi tạo được slide từ TAI, tôi add trang mới vào file slide đó thì STT của slide không nhảy theo . tôi cần làm gì.",False,none,,Doc TAI khong huong dan ve so thu tu slide khi them trang moi.
fb_0014,the-powerpoint-er,new_feature,chưa chuyển thể data trong excel thành chart trong ppt được,False,limitation,Layouts depend on bundled templates — no custom animations or complex charts,Doc ghi ro khong ho tro chart phuc tap nen khong chuyen duoc data excel thanh chart.
fb_0015,tai,bug,k phản hồi,False,none,,"Khong phan hoi la loi, doc khong de cap."
fb_0016,tai-studio,new_feature,The automatic scrolling/marquee for Trending agents is just meh. Let's turn it into just a manual scroll.,False,none,,Doc TAI Studio khong de cap marquee/trending agents.
fb_0018,the-powerpoint-er,new_feature,Tài có thể giúp tạo format dựa trên dư liệu file excel có sẵn đưa vào ko,False,none,,"Doc chi noi upload reference files chung chung, khong xac nhan ho tro excel de tao format."
fb_0020,tai,new_feature,Vui lòng để song ngữ cho tên của các agents không thì người dùng tìm mệt lắm. Thanks.,False,none,,Doc TAI khong noi ve ten agent song ngu.
fb_0021,tai,bug,"Tài chưa đưa ra trả lời, still runing",False,none,,"Treo khong tra loi la loi, doc khong xac nhan by-design."
fb_0022,the-imaginator,new_feature,"lịch sử lưu ảnh của Tài Thiết kế hơi ít ,muốn tìm lại ảnh cũ hơn thì k thấy",False,none,,"Doc chi noi History hien anh moi tao gan day, khong co cach tim lai anh cu hon."
fb_0023,tai,bug,Chat MCP O365 bằng ENG nhưng câu trả lời bằng tiếng Việt,False,limitation,"| Language follows your prompt | The EN/VI toggle changes UI only, not response language |","Doc nói ngôn ngữ trả lời theo prompt; user hỏi ENG nhưng nhận VI ⇒ hành vi trái doc = bug, doc chỉ giải thích cơ chế ⇒ limitation."
fb_0024,the-whiteboarder,new_feature,"Dear anh chị, owner của agent review lại hướng dẫn sử dụng, user đọc hướng dẫn nhưng chưa rõ phải thao tác như thế nào. Ví dụ t…",False,none,,"Phan hoi ve chat luong tai lieu huong dan, khong phai tinh nang duoc doc giai quyet."
fb_0025,tai,bug,TAI Chat repeatedly tried to write and rewrite the same html page multiple times until I had to explicitly stop it (eating thru my budg…,False,none,,Vong lap viet lai html va tieu ton budget khong duoc doc TAI mo ta.
fb_0026,the-scholar,new_feature,Mấy cái nút này mầu xấu quá dùng màu xanh không ổn ?,False,none,,Doc The Scholar khong de cap mau sac cac nut giao dien.
fb_0028,the-powerpoint-er,bug,LLM: LLM: structured output failed: No JSON found after all strategies: line 1 column 1 (char 0)…,False,none,,Loi structured output failed khong duoc doc mo ta.
fb_0029,the-powerpoint-er,new_feature,"Tự bịa khá nhiều thông tin, cần phải có bước comment sau khi đã lên slide draft để chỉnh AI đi đúng hướng",True,how_to,The “Ask AI to edit” field allows a short description of the desired changes. This helps guide AI to update the content more accurately.,Doc co buoc Ask AI to edit sau khi da len slide draft de dieu chinh AI theo dung huong.
